Date,Open,High,Low,Close,Adj Close,Volume
5/2/2018,53000,53000,53000,53000,51733.82422,0
5/3/2018,53000,53000,53000,53000,51733.82422,0
5/4/2018,53000,53900,51800,51900,50660.10547,39565391
5/8/2018,52600,53200,51900,52600,51343.38281,23104720
5/9/2018,52600,52800,50900,50900,49683.99219,16128305
5/10/2018,51700,51700,50600,51600,50367.26953,13905263
5/11/2018,52000,52200,51200,51300,50074.4375,10314997
5/14/2018,51000,51100,49900,50100,48903.10547,14909272
5/15/2018,50200,50400,49100,49200,48024.60547,18709146
5/16/2018,49200,50200,49150,49850,48659.07813,15918683
5/17/2018,50300,50500,49400,49400,48219.82813,10365440
5/18/2018,49900,49900,49350,49500,48317.4375,6706570
5/21/2018,49650,50200,49100,50000,48805.49609,9020998
5/23/2018,50600,52000,50400,51800,50562.49219,17095490
5/24/2018,52000,52000,51100,51400,50172.05078,8289275
5/25/2018,51000,52800,50800,52700,51440.99219,15207266
5/28/2018,52500,53000,52000,52300,51050.54688,9787820
5/29/2018,52200,52500,51300,51300,50074.4375,8480437
5/30/2018,51300,51500,49100,49500,48317.4375,20498098
5/31/2018,50400,50800,49850,50700,49488.77344,63491109
6/1/2018,50500,51700,49950,51300,50074.4375,13038499
6/4/2018,50800,51200,50700,51100,49879.21484,9767171
6/5/2018,51100,51400,50400,51300,50074.4375,9144100
6/7/2018,51800,51800,50500,50600,49391.16016,13590016
6/8/2018,50200,50400,49600,49650,48463.85938,16951706
6/11/2018,49750,50300,49350,49900,48707.88281,10571312
6/12/2018,49700,49800,49250,49400,48219.82813,12110569
6/14/2018,49000,49000,48200,48200,47048.49219,20971729
6/15/2018,48500,48700,47650,47650,46511.63672,17080892
6/18/2018,47600,47650,46200,46600,45486.71875,16661870
6/19/2018,47200,47350,46500,47000,45877.16406,15217971
6/20/2018,47450,47600,46850,47000,45877.16406,12959316
6/21/2018,47900,47900,47050,47050,45925.97266,10015541
6/22/2018,47000,47250,46200,47250,46121.19141,10298006
6/25/2018,47050,47050,46150,46650,45535.52344,10587711
6/26/2018,45900,47300,45900,47000,45877.16406,11223166
6/27/2018,47450,48500,47000,47950,46804.46875,15274752
6/28/2018,46850,47150,46600,46800,46021.70703,12784800
6/29/2018,46250,47150,46200,46650,45874.19922,14099635
7/2/2018,46500,47150,45500,45550,44792.49609,13112253
7/3/2018,45750,46450,45750,46150,45382.51563,10959655
7/4/2018,46700,47050,46050,46250,45480.85156,8776763
7/5/2018,46100,46550,45600,45950,45185.83984,7039773
7/6/2018,45500,45850,44650,44900,44153.30469,17843706
7/9/2018,45500,46100,45200,45600,44841.66016,11602464
